name,best_batchsize,epoch_time,jct,samples,minibatch_time
vgg16,512,16.19251835346222,259.0802936553955,50000,0.12
squeezenet,512,9.93925791978836,357.813285112381,50000,0.09
googlenet,4096,9.32609212398529,279.7827637195587,50000,0.50
neumf,8192,46.13329809362238,507.4662790298462,4972544,3.21
adgcl,32,52.773524255894905,3535.8261251449585,11929,5.0
yolov5,32,887.28,266184.492247581482,640,2.132338523864746
bert,8,2843.492247581482,284349.2247581482,130320,2843.492247581482
lstm,256,265.80904150009155,2067.591484308243,37376,265.80904150009155
resnet50,1024,16.53957310089698,215.01445031166077,50000,1.20
