pod_name,submit_time
resnet50-fkhgs,1687416548.5613186
resnet50-65k8z,1687416548.6891234
neumf-2w4ch,1687416548.8185174
lstm-v8crr,1687416548.9458258
squeezenet-p88zf,1687416549.0826619
vgg16-v2qd7,1687416549.2174907
lstm-6q8fl,1687416549.3473618
yolov5-shnx2,1687416549.4801216
bert-sj6jm,1687416549.6142223
yolov5-zw5tc,1687416549.751418
bert-mb4md,1687416549.8907623
bert-chrkj,1687416550.0194256
neumf-mw5cv,1687416550.1606154
squeezenet-2j4j7,1687416550.2855568
lstm-2xk25,1687416550.4112923
resnet50-xqct2,1687416550.5429637
yolov5-8qlfb,1687416550.672739
yolov5-tkshz,1687416550.8012567
bert-7cd77,1687416550.9283957
neumf-t7nlq,1687416551.0578613
bert-pngpb,1687416551.1863992
neumf-9shvk,1687416551.3124716
squeezenet-bs6s6,1687416552.6244063
lstm-722h7,1687416552.9713078
bert-7gtcs,1687416553.1094031
bert-tbsjs,1687416553.237257
yolov5-qcdmr,1687416553.3720846
vgg16-77js5,1687416553.5311143
neumf-xxdvm,1687416553.6654594
squeezenet-znqnj,1687416553.7986727
lstm-phqb9,1687416553.935485
yolov5-mmspp,1687416554.0731912
resnet50-rtppv,1687416554.200578
lstm-jj62b,1687416554.3283992
vgg16-h2hkw,1687416554.4546142
resnet50-g4p4d,1687416554.5840578
yolov5-7zt88,1687416554.7340236
squeezenet-sblnl,1687416554.8611906
yolov5-qs5kt,1687416554.9883
vgg16-b6k7j,1687416704.2448313
vgg16-l7szm,1687416721.1880965
lstm-lp45q,1687416721.4645364
vgg16-r9snl,1687416726.5725427
neumf-bbgwx,1687416758.6450496
bert-k4mlp,1687416784.8132286
neumf-6zgwv,1687416804.995865
lstm-q8p7t,1687416805.147366
vgg16-87fkp,1687416805.516179
lstm-xd57z,1687416853.5228987
neumf-8fl55,1687416857.320968
neumf-8mq9x,1687416865.3010175
squeezenet-wc859,1687416865.4945946
squeezenet-q2j2d,1687416865.652406
bert-l45tf,1687416866.6323647
vgg16-8bf2c,1687416867.1343596
vgg16-6tcrt,1687416868.917078
bert-wgqp5,1687416869.0466764
resnet50-g2q4x,1687416869.5093837
vgg16-tf9l7,1687416871.4079332
resnet50-x8qc4,1687416871.5640569
yolov5-wfd7d,1687416875.5294342
bert-82jj2,1687416888.779323
vgg16-l96c5,1687416902.8596697
squeezenet-lvf42,1687416904.515314
vgg16-b5kxf,1687416906.0398676
resnet50-6ln9h,1687416910.4106917
resnet50-sxb4r,1687416910.5386953
lstm-ww548,1687416929.3705456
squeezenet-bqv2r,1687416929.6735852
resnet50-9vgfw,1687416936.492887
neumf-r8hlt,1687416938.5996664
vgg16-k4fpk,1687416939.0976038
vgg16-jkkv7,1687416939.2197888
bert-7p52n,1687416940.9223604
resnet50-2shpz,1687416941.0613537
squeezenet-glws8,1687416945.6410818
lstm-tt8b6,1687416945.8169281
yolov5-9l4jr,1687416951.9337397
bert-t6xvp,1687416955.0473135
resnet50-n44wc,1687416955.8766966
lstm-v8xbc,1687416956.083928
bert-4wl8x,1687416956.2468483
vgg16-gq4h2,1687416956.419085
lstm-5b68m,1687416956.6040673
yolov5-xlb4h,1687416957.7256215
squeezenet-64dpf,1687416957.9005945
resnet50-n544h,1687416961.613438
neumf-s7954,1687416964.5379589
squeezenet-p26fr,1687416968.351236
resnet50-rzv4z,1687416969.3188834
squeezenet-9hjgk,1687416969.5131853
squeezenet-2x8l2,1687416969.6453922
neumf-vb8nd,1687416969.789047
neumf-6xm7n,1687416969.9255478
resnet50-fjb8d,1687416970.07753
squeezenet-z47lx,1687416970.2081974
yolov5-crmzd,1687416970.340153
resnet50-gmg42,1687416970.4704037
neumf-9gqx7,1687416970.6140146
vgg16-67hh8,1687416970.7454543
lstm-4r7pb,1687416970.884897
squeezenet-2knbm,1687416971.036934
vgg16-xcthp,1687416971.2281888
resnet50-p8nfs,1687416971.3853276
resnet50-kz5pd,1687416971.563412
bert-7574f,1687416972.0128236
squeezenet-hqhtg,1687416972.7144208
resnet50-b5s5m,1687416973.6947427
squeezenet-zf4ww,1687416975.7084281
bert-wqfmz,1687416991.2072594
lstm-vdckn,1687416991.33557
neumf-jm4hh,1687416991.464688
lstm-vb8t2,1687416991.5923674
squeezenet-6jnr5,1687416991.7229676
squeezenet-ktqtf,1687416991.8578386
lstm-jvfnd,1687416991.987292
vgg16-tkrgl,1687416992.1177406
resnet50-fwdqp,1687416992.2467797
squeezenet-htljh,1687416998.8451486
resnet50-dz9gf,1687417022.2450714
lstm-sz52k,1687417025.9946342
squeezenet-n6kd6,1687417026.83819
yolov5-p9x6s,1687417052.2297657
neumf-4wk29,1687417052.4794948
squeezenet-mtdkp,1687417052.6505036
squeezenet-9szw8,1687417052.96806
lstm-n2n6d,1687417060.1948698
squeezenet-2jv2l,1687417092.3196526
lstm-7tk4w,1687417092.4577053
vgg16-87dfx,1687417147.0667567
squeezenet-gc6v9,1687417147.4946566
resnet50-cpmrg,1687417147.6421158
vgg16-g5n64,1687417151.91423
neumf-f6f4f,1687417161.1403036
squeezenet-qt4cd,1687417174.6249943
neumf-9sswd,1687417231.9205277
lstm-tqpv7,1687417233.7889884
bert-hfh8w,1687417234.2846682
neumf-kg5rm,1687417234.6738865
resnet50-k4q5q,1687417243.303485
squeezenet-6c5qk,1687417243.537916
yolov5-vz9cq,1687417249.3722517
yolov5-4m9bs,1687417249.6504257
yolov5-pr7t7,1687417252.5258026
resnet50-tpxzz,1687417252.6541312
bert-d49bn,1687417272.489902
lstm-4jkp8,1687417283.7995987
vgg16-24dd6,1687417285.3781471
lstm-hjsht,1687417285.5866456
bert-fhv4p,1687417286.3740256
squeezenet-pxrhs,1687417295.5563092
lstm-8r2s6,1687417317.503173
resnet50-blpps,1687417319.5504465
resnet50-jxwln,1687417330.4574618
lstm-td65j,1687417333.0074856
vgg16-plmm4,1687417333.1328359
yolov5-4vf55,1687417336.8807516
neumf-rd7t6,1687417337.0046825
vgg16-nlcf4,1687417337.1590266
vgg16-7lcvx,1687417340.1456084
lstm-qlkvz,1687417349.455356
yolov5-ldp47,1687417349.5773973
resnet50-8fwbr,1687417356.6890056
bert-p68mp,1687417371.4371097
vgg16-p5tdx,1687417373.717467
yolov5-6pk4c,1687417373.8410375
squeezenet-xk4fn,1687417391.8807526
vgg16-8mjtk,1687417392.383436
resnet50-8xm8m,1687417394.6244354
squeezenet-mt59g,1687417398.283814
yolov5-hkmxx,1687417402.5961463
yolov5-9pr47,1687417417.9124048
vgg16-r4wcd,1687417418.1043456
neumf-ngzpt,1687417418.433344
lstm-8kpk5,1687417427.6407104
squeezenet-h9rb9,1687417428.6363018
yolov5-xrhh4,1687417428.7826207
resnet50-9s7sr,1687417428.9154084
vgg16-282f6,1687417436.2335002
vgg16-hjbfm,1687417437.6156206
lstm-sqhqt,1687417437.842835
neumf-d4p46,1687417461.266498
bert-4m2b6,1687417464.9090347
bert-gg8t5,1687417469.5252118
bert-85f9f,1687417481.8708484
vgg16-n5t8m,1687417482.0002809
lstm-n7v6v,1687417482.1317873
lstm-8xd4f,1687417482.2636197
lstm-vql77,1687417482.3928883
lstm-zhdhl,1687417482.5215793
bert-26cgj,1687417482.6531897
lstm-g74q9,1687417482.7825053
squeezenet-7z589,1687417482.9108438
neumf-7n9m7,1687417483.0456777
resnet50-tt8bz,1687417483.1732352
neumf-7mbrp,1687417483.3044674
vgg16-mhx65,1687417483.434508
vgg16-vdtkm,1687417483.5670044
squeezenet-jk2zm,1687417483.6964054
yolov5-skfjw,1687417483.8259225
lstm-k5xg7,1687417483.9564898
squeezenet-ppmzs,1687417484.0859337
neumf-jwq8q,1687417484.2137318
vgg16-9tjr4,1687417484.3439417
resnet50-7mcfr,1687417484.4762518
bert-d85jj,1687417484.6110785
resnet50-zkdvc,1687417490.545009
squeezenet-j8w92,1687417503.4330268
neumf-pcqsg,1687417503.6232128
resnet50-4thvt,1687417515.761056
squeezenet-497mn,1687417516.3419302
resnet50-qm5mc,1687417520.1410036
vgg16-slvrl,1687417521.785161
resnet50-mzhrc,1687417531.707138
neumf-7sxjh,1687417538.3674471
vgg16-sgvl6,1687417538.5139418
squeezenet-l28bv,1687417550.201069
squeezenet-h4rwp,1687417551.0807717
squeezenet-bq9rb,1687417551.2051938
vgg16-qbxrv,1687417551.528036
bert-vmm99,1687417554.4586809
squeezenet-mrht6,1687417562.3545766
yolov5-kpsfn,1687417573.3529103
bert-d4s7z,1687417579.3011372
squeezenet-2rtwn,1687417594.4920332
squeezenet-zgzbv,1687417604.7610931
lstm-m2xpc,1687417616.3288295
squeezenet-p77zw,1687417644.5061977
resnet50-x6hxf,1687417644.629609
lstm-xg4z6,1687417646.2839284
