pod_name,submit_time
yolov5-xnszl,1687413603.4063973
lstm-784g6,1687413844.7880075
squeezenet-gzrln,1687413982.4396238
resnet50-pxn5g,1687413994.4570913
neumf-crrzv,1687413999.1933792
squeezenet-csmvc,1687414257.252485
yolov5-rzqmr,1687414452.3786352
resnet50-mc5cx,1687414452.630715
squeezenet-fxcrx,1687414460.6996152
neumf-4h57d,1687414524.4194753
bert-4qzh5,1687414524.5393512
neumf-l7gj9,1687414524.6569045
resnet50-zpsvz,1687414547.4169295
lstm-bljlw,1687414548.4197984
neumf-vj4fb,1687414550.3428516
resnet50-fb7sv,1687414596.6249588
bert-f6q2v,1687414798.537146
bert-tn9th,1687414918.7730558
yolov5-5p76m,1687414989.64661
bert-2zwgx,1687414989.7847276
resnet50-hlqzd,1687415046.30202
lstm-sjnl5,1687415124.90205
bert-nqlt4,1687415247.3029604
lstm-xr8hm,1687415322.714315
squeezenet-5wjtd,1687415490.3129191
vgg16-v5489,1687415504.2499714
squeezenet-kxrx7,1687415540.0858026
neumf-sgbx5,1687415544.4053855
bert-r5jhc,1687415565.4046934
bert-j69cz,1687415565.5285308
squeezenet-hrsmb,1687415565.6658397
yolov5-cj7nj,1687415623.4883552
resnet50-62vfs,1687415666.7203965
yolov5-rgdtb,1687415684.7925951
neumf-652v5,1687415714.5493011
vgg16-nmlw8,1687415714.6863368
lstm-bsg9m,1687415724.753112
squeezenet-zkfnb,1687415749.391347
yolov5-294zg,1687415757.0878866
lstm-6z4lx,1687415799.5803308
vgg16-lzs64,1687415799.8725665
neumf-bf767,1687415822.8129404
yolov5-cvhn4,1687415846.1225283
resnet50-qxlgp,1687415846.4663515
resnet50-msss4,1687415846.5964947
yolov5-js7h9,1687415846.7597973
resnet50-8mc6j,1687416031.3748221
neumf-vmf4x,1687416102.901052
resnet50-hznl5,1687416160.6536505
bert-wskrx,1687416227.0436924
yolov5-lnrjw,1687416235.6009104
squeezenet-t7ntz,1687416242.0210948
vgg16-xw4kt,1687416244.8855152
resnet50-nlszc,1687416268.0588844
neumf-lrdzf,1687416289.7412133
bert-55956,1687416290.8968582
vgg16-v7vrs,1687416291.3314548
neumf-kjqxl,1687416317.7049797
lstm-h64f5,1687416349.0130801
neumf-qzvdb,1687416350.1332548
yolov5-thxq8,1687416362.7490635
neumf-d4vml,1687416365.9165409
bert-zzfcz,1687416366.0512125
neumf-cnksr,1687416379.0132103
neumf-ts7fd,1687416406.7051883
squeezenet-qsg8m,1687416541.0130932
neumf-5chlq,1687416547.5238163
squeezenet-qkldf,1687416548.1800816
neumf-f8wbn,1687416548.3055377
resnet50-hsk6t,1687416548.4329138
