pod_name,submit_time
yolov5-kqrwz,1687420624.9393911
lstm-lsnh9,1687420866.426042
squeezenet-8mz7w,1687421004.0737815
resnet50-c6xkx,1687421016.095277
neumf-lxs8k,1687421020.8351295
squeezenet-z2jvb,1687421278.9442723
yolov5-5h9rt,1687421474.020189
resnet50-lwdv7,1687421474.2781103
squeezenet-g7bcd,1687421482.3562362
neumf-8dxpq,1687421546.0621216
bert-588cl,1687421546.1926894
neumf-rgpn9,1687421546.319278
resnet50-gcx8l,1687421569.063748
lstm-hvwzv,1687421570.0705678
neumf-jfwnq,1687421571.999644
resnet50-stx6c,1687421618.2413146
bert-qqdst,1687421820.1453161
bert-r7hwg,1687421940.3916576
yolov5-cmgqn,1687422011.2936974
bert-6kvrg,1687422011.4457288
resnet50-mmq2b,1687422067.973183
lstm-6flzb,1687422146.5482547
bert-q7mq7,1687422269.047316
lstm-nhn6r,1687422344.4255898
squeezenet-6xqnh,1687422511.9490337
vgg16-g9vvz,1687422525.8828168
squeezenet-5cg7k,1687422561.678821
neumf-87xcx,1687422566.000545
bert-4nfjx,1687422586.9762833
bert-b4wsz,1687422587.1023235
squeezenet-wrs26,1687422587.234227
yolov5-qpps4,1687422645.0214148
resnet50-m459p,1687422688.2842677
yolov5-n87k2,1687422706.3377748
neumf-xlw5r,1687422736.1058521
vgg16-rzkvs,1687422736.274931
lstm-88rtj,1687422746.34004
squeezenet-z7jhj,1687422771.0744038
yolov5-f25gt,1687422778.7697604
lstm-tx286,1687422821.262243
vgg16-z4m5j,1687422821.4547777
neumf-g89cj,1687422844.3094952
yolov5-ft72z,1687422867.612641
resnet50-tb2b5,1687422867.9558272
resnet50-5thtb,1687422868.087557
yolov5-pnmzs,1687422868.2476404
resnet50-kwf9l,1687423052.832546
neumf-2qklq,1687423124.3249283
resnet50-b2r4t,1687423182.104495
bert-lw6lh,1687423248.4831316
yolov5-pwg2t,1687423257.044169
squeezenet-xrlvm,1687423263.4656897
vgg16-jk2pn,1687423266.3298042
resnet50-thrhw,1687423289.5034184
neumf-4sd4l,1687423311.18285
bert-rpdr4,1687423312.3283594
vgg16-4gn5h,1687423312.7598336
neumf-5mcdp,1687423339.1147034
lstm-jjljj,1687423370.4193208
neumf-mpdvv,1687423371.5412598
yolov5-5b8fx,1687423384.1631882
neumf-pdzhp,1687423387.3317726
bert-lm5s2,1687423387.4549637
neumf-rnr64,1687423400.4164038
neumf-p749m,1687423428.101402
squeezenet-htcq8,1687423562.418624
neumf-7mrl7,1687423568.9524953
squeezenet-h8bc5,1687423569.6067793
neumf-hn678,1687423569.7317212
resnet50-vhx26,1687423569.8592803
