pod_name,submit_time
resnet50-qmstt,1687423569.9929295
resnet50-62kbz,1687423570.119036
neumf-xd485,1687423570.2479606
lstm-rgqql,1687423570.375317
squeezenet-5h9s5,1687423570.5187514
vgg16-dfrvg,1687423570.6506321
lstm-gs2br,1687423570.7767725
yolov5-rfkk5,1687423570.9092128
bert-wngzl,1687423571.0422392
yolov5-d4n5q,1687423571.1818583
bert-wvswx,1687423571.3192432
bert-zt5sc,1687423571.4483368
neumf-px7vf,1687423571.5832984
squeezenet-plvf4,1687423571.7092292
lstm-jgnpn,1687423571.8386161
resnet50-t5n22,1687423571.9678652
yolov5-gnpcm,1687423572.0971875
yolov5-pmvmc,1687423572.226079
bert-hdx9d,1687423572.3527818
neumf-7xbvg,1687423572.4823902
bert-pdt88,1687423572.6135612
neumf-rv226,1687423572.7417207
squeezenet-zvbs9,1687423574.053569
lstm-28w6h,1687423574.3970275
bert-xjdbq,1687423574.5391066
bert-h2g24,1687423574.6647038
yolov5-p7d5n,1687423574.795419
vgg16-k7j6t,1687423574.9544523
neumf-lxfwn,1687423575.0902457
squeezenet-lbhvn,1687423575.223097
lstm-hq5gp,1687423575.3575394
yolov5-j6g4k,1687423575.495409
resnet50-rwdm8,1687423575.6195588
lstm-tcjm5,1687423575.7486684
vgg16-4cvjb,1687423575.8780844
resnet50-xn9dv,1687423576.0057776
yolov5-ctqsm,1687423576.1535618
squeezenet-qbndg,1687423576.2787256
yolov5-br8xf,1687423576.4081645
vgg16-hg775,1687423725.7529962
vgg16-4svn4,1687423742.702078
lstm-2k2wn,1687423742.9767866
vgg16-5rjb5,1687423748.0791483
neumf-dc7h8,1687423780.1338172
bert-jbq99,1687423806.3189366
neumf-8npk7,1687423826.5003355
lstm-p8ppd,1687423826.6509593
vgg16-kn4n2,1687423827.0202458
lstm-cl7xh,1687423875.0272899
neumf-kfbhm,1687423878.8263078
neumf-6h2bm,1687423886.8091571
squeezenet-pf8wv,1687423886.9943068
squeezenet-cpnqt,1687423887.1495657
bert-8bfr5,1687423888.1302156
vgg16-rxlcb,1687423888.6294959
vgg16-rb5nq,1687423890.403844
bert-fgnsc,1687423890.5217223
resnet50-fllmn,1687423890.9780157
vgg16-vq8gv,1687423892.8742068
resnet50-4rksz,1687423893.0033283
yolov5-v52qp,1687423896.968178
bert-tgzcp,1687423910.2239108
vgg16-v5gvs,1687423924.3186638
squeezenet-kc95k,1687423925.973403
vgg16-hh6x6,1687423927.4952343
resnet50-m2lgz,1687423931.8823373
resnet50-m4szm,1687423932.0232654
lstm-m4dst,1687423950.848607
squeezenet-ttcgd,1687423951.1611538
resnet50-gvmlm,1687423957.9790435
neumf-65kgg,1687423960.0834367
vgg16-n7r82,1687423960.575685
vgg16-rvz6m,1687423960.6988964
bert-whc5s,1687423962.4022384
resnet50-l97mv,1687423962.5403824
squeezenet-lmn8j,1687423967.1158223
lstm-bplzd,1687423967.2377005
yolov5-kkqzr,1687423973.3566425
bert-6kvwj,1687423976.473282
resnet50-bw5qx,1687423977.3045256
lstm-pmfcn,1687423977.5165339
bert-blhnf,1687423977.678633
vgg16-dgljk,1687423977.8487847
lstm-kgjkk,1687423978.0362558
yolov5-hvwbw,1687423979.1575885
squeezenet-62wdf,1687423979.3360853
resnet50-7hbls,1687423983.0438008
neumf-7msth,1687423985.9645355
squeezenet-bdq4s,1687423989.7717447
resnet50-rbg7g,1687423990.7540555
squeezenet-xzc5s,1687423990.9827318
squeezenet-99pgv,1687423991.1966512
neumf-nfdfl,1687423991.4047532
neumf-fntbg,1687423991.5405242
resnet50-k8m9f,1687423991.7217445
squeezenet-954bv,1687423991.8579893
yolov5-r7zzc,1687423991.9947548
resnet50-g96f2,1687423992.1261647
neumf-7wmvs,1687423992.274976
vgg16-r6j2j,1687423992.4195817
lstm-6drpg,1687423992.5603044
squeezenet-td2fx,1687423992.7139966
vgg16-59f5b,1687423992.8992321
resnet50-cv99l,1687423993.054496
resnet50-f6q96,1687423993.2359362
bert-6nkzh,1687423993.682758
squeezenet-m9fwl,1687423994.490446
resnet50-zqvlz,1687423995.4747696
squeezenet-dffmg,1687423997.5354562
bert-x5zxw,1687424013.0880902
lstm-sdhn9,1687424013.2157354
neumf-kbc2k,1687424013.3417068
lstm-jgtbz,1687424013.4690616
squeezenet-nwbr4,1687424013.6014786
squeezenet-47s4n,1687424013.7291129
lstm-76mdz,1687424013.8534706
vgg16-n6svq,1687424013.9842718
resnet50-d5gx8,1687424014.112351
squeezenet-fp9qt,1687424020.706513
resnet50-vg9mv,1687424044.1166856
lstm-pt68r,1687424047.8644876
squeezenet-kcbd5,1687424048.7068965
yolov5-xrjk6,1687424074.0939844
neumf-jb9mr,1687424074.3496156
squeezenet-sj8j6,1687424074.5234084
squeezenet-9bpgk,1687424074.8492177
lstm-9ffcc,1687424082.0754092
squeezenet-krqh7,1687424114.1702762
lstm-pkh6b,1687424114.3080692
vgg16-qm8h4,1687424168.9468055
squeezenet-f8lw2,1687424169.3741274
resnet50-t68zq,1687424169.5206468
vgg16-pgmgs,1687424173.7922714
neumf-h7kxb,1687424183.0044956
squeezenet-6jl2x,1687424196.4913764
neumf-whr82,1687424253.76596
lstm-t2tzs,1687424255.6351857
bert-n5vx6,1687424256.131741
neumf-xfx6m,1687424256.5188084
resnet50-rdzk2,1687424265.1406825
squeezenet-q79fv,1687424265.3755102
yolov5-kt5gm,1687424271.2093434
yolov5-8mv6k,1687424271.485806
yolov5-hskdz,1687424274.3610342
resnet50-hvvsk,1687424274.4841185
bert-wdnr5,1687424294.3354409
lstm-hq57z,1687424305.6432385
vgg16-mszjw,1687424307.2204359
lstm-j7g6d,1687424307.423363
bert-g4wlq,1687424308.2037163
squeezenet-zfthx,1687424317.3845887
lstm-n4f8b,1687424339.329701
resnet50-7hqvk,1687424341.3771205
resnet50-vnlc6,1687424352.287064
lstm-bw6cc,1687424354.8326821
vgg16-bkm7p,1687424354.958637
yolov5-87hgs,1687424358.7050664
neumf-qvvc8,1687424358.8316033
vgg16-m87g5,1687424358.9849195
vgg16-llq2h,1687424361.9761143
lstm-s668z,1687424371.2864695
yolov5-7dbrz,1687424371.405025
resnet50-tv94g,1687424378.5122788
bert-p9zrx,1687424393.2750962
vgg16-tpmrr,1687424395.5532534
yolov5-lrmz9,1687424395.680293
squeezenet-6tl5q,1687424413.7060654
vgg16-c8cvn,1687424414.2073193
resnet50-c9qk5,1687424416.4446213
squeezenet-mpvjp,1687424420.1005406
yolov5-c4fzl,1687424424.4135613
yolov5-sf7wv,1687424439.7122989
vgg16-pldrx,1687424439.9001884
neumf-bgnbq,1687424440.2299304
lstm-7zttq,1687424449.439026
squeezenet-9vqpp,1687424450.4381344
yolov5-t4h8r,1687424450.5877643
resnet50-z8csz,1687424450.7214315
vgg16-nsq4v,1687424458.0364974
vgg16-pct48,1687424459.4136105
lstm-fjgx8,1687424459.6408246
neumf-lt76l,1687424483.056391
bert-zhjlp,1687424486.6997623
bert-szndk,1687424491.3206773
bert-k2q5n,1687424503.665888
vgg16-5gv5g,1687424503.7905948
lstm-k9vl9,1687424503.9156258
lstm-lbtsz,1687424504.0470467
lstm-tbvr4,1687424504.1754177
lstm-n7qkn,1687424504.304783
bert-2r6f4,1687424504.4310822
lstm-ltj8s,1687424504.5589955
squeezenet-q2q2s,1687424504.6853065
neumf-d29b6,1687424504.8111718
resnet50-jlfh6,1687424504.9435985
neumf-7tlsx,1687424505.0736103
vgg16-7xn59,1687424505.2009342
vgg16-hxsrq,1687424505.330585
squeezenet-cdmcl,1687424505.4583743
yolov5-msgpw,1687424505.5845816
lstm-wkwwk,1687424505.7148726
squeezenet-8phfr,1687424505.843576
neumf-dxp6m,1687424505.9712827
vgg16-q8z2t,1687424506.0997844
resnet50-65xkg,1687424506.23476
bert-84fwp,1687424506.365268
resnet50-xbht2,1687424512.3192353
squeezenet-594f5,1687424525.2124236
neumf-mknbr,1687424525.3967953
resnet50-6pkdz,1687424537.535937
squeezenet-5bqdx,1687424538.1180294
resnet50-xv2nc,1687424541.916455
vgg16-8pb82,1687424543.5566466
resnet50-b75bp,1687424553.4805229
neumf-gz77n,1687424560.1325786
vgg16-wj6cf,1687424560.2731895
squeezenet-wtrww,1687424571.959746
squeezenet-9st9q,1687424572.8335204
squeezenet-7447h,1687424572.9590304
vgg16-lpgkm,1687424573.2801971
bert-vw5xj,1687424576.2054148
squeezenet-fd6gz,1687424584.0975058
yolov5-t5g4k,1687424595.0884988
bert-9dpnm,1687424601.0315866
squeezenet-jst78,1687424616.2247546
squeezenet-znmjf,1687424626.492249
lstm-8d5v9,1687424635.7929583
squeezenet-wsd98,1687424663.9691756
resnet50-jn4vr,1687424664.0907023
lstm-fjrxb,1687424665.7373035
