vgg16_sm,vgg16_mem,vgg19_sm,vgg19_mem,squeezenet_sm,squeezenet_mem,googlenet_sm,googlenet_mem,alexnet_sm,alexnet_mem,lstm_sm,lstm_mem,neumf_sm,neumf_mem,adgcl_sm,adgcl_mem,sum_interference,product_interference
53.44736842105264,26.730263157894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7323010000928422,0.13226240042599252
53.44736842105264,26.730263157894736,60.84324324324324,34.69189189189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9319301551668352,0.2152628866364339
53.44736842105264,26.730263157894736,0.0,0.0,10.24271844660194,2.9805825242718447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7235282034393083,0.12045913821087888
53.44736842105264,26.730263157894736,0.0,0.0,0.0,0.0,24.29545454545455,8.227272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28385415325212565,0.017215333937258114
53.44736842105264,26.730263157894736,0.0,0.0,0.0,0.0,0.0,0.0,7.531732418524871,2.497427101200686,0.0,0.0,0.0,0.0,0.0,0.0,0.12999703382635994,0.0018306823336399504
53.44736842105264,26.730263157894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.08552631578947,28.697368421052627,0.0,0.0,0.0,0.0,0.7183717132200143,0.12797374933181815
53.44736842105264,26.730263157894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.425287356321839,0.5057471264367817,0.0,0.0,0.5793330690486365,0.07948009738012253
53.44736842105264,26.730263157894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.933070866141732,3.8385826771653533,0.5168148093524191,0.062391414941159636
0.0,0.0,60.84324324324324,34.69189189189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9048263653962678,0.20449026854540667
0.0,0.0,60.84324324324324,34.69189189189189,10.24271844660194,2.9805825242718447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8017162077423645,0.11948803058483648
0.0,0.0,60.84324324324324,34.69189189189189,0.0,0.0,24.29545454545455,8.227272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2957732495578262,0.020849265119969512
0.0,0.0,60.84324324324324,34.69189189189189,0.0,0.0,0.0,0.0,7.531732418524871,2.497427101200686,0.0,0.0,0.0,0.0,0.0,0.0,0.23205827383811575,0.12492729243561268
0.0,0.0,60.84324324324324,34.69189189189189,0.0,0.0,0.0,0.0,0.0,0.0,57.08552631578947,28.697368421052627,0.0,0.0,0.0,0.0,1.050346008049592,0.27383756962009664
0.0,0.0,60.84324324324324,34.69189189189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.425287356321839,0.5057471264367817,0.0,0.0,0.44960556066003454,0.039262762002094616
0.0,0.0,60.84324324324324,34.69189189189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.933070866141732,3.8385826771653533,0.5083199147070961,0.06296081489256053
0.0,0.0,0.0,0.0,10.24271844660194,2.9805825242718447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11496273618986952,0.0032013352844392
0.0,0.0,0.0,0.0,10.24271844660194,2.9805825242718447,24.29545454545455,8.227272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07983507411098999,0.0010649237379750612
0.0,0.0,0.0,0.0,10.24271844660194,2.9805825242718447,0.0,0.0,7.531732418524871,2.497427101200686,0.0,0.0,0.0,0.0,0.0,0.0,0.96163360614919,0.13823334839678522
0.0,0.0,0.0,0.0,10.24271844660194,2.9805825242718447,0.0,0.0,0.0,0.0,57.08552631578947,28.697368421052627,0.0,0.0,0.0,0.0,0.6560555178623246,0.10032515135255096
0.0,0.0,0.0,0.0,10.24271844660194,2.9805825242718447,0.0,0.0,0.0,0.0,0.0,0.0,3.425287356321839,0.5057471264367817,0.0,0.0,0.3445009194095906,0.017984158109021445
0.0,0.0,0.0,0.0,10.24271844660194,2.9805825242718447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.933070866141732,3.8385826771653533,0.3953899501525036,0.039053830695612836
0.0,0.0,0.0,0.0,0.0,0.0,24.29545454545455,8.227272727272727,7.531732418524871,2.497427101200686,0.0,0.0,0.0,0.0,0.0,0.0,0.11496273618986952,0.0032013352844392
0.0,0.0,0.0,0.0,0.0,0.0,24.29545454545455,8.227272727272727,0.0,0.0,0.0,0.0,3.425287356321839,0.5057471264367817,0.0,0.0,0.10477607579761182,0.0014136453082254198
0.0,0.0,0.0,0.0,0.0,0.0,24.29545454545455,8.227272727272727,0.0,0.0,0.0,0.0,0.0,0.0,10.933070866141732,3.8385826771653533,0.09332174151976326,0.0005076170810527329
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.531732418524871,2.497427101200686,0.0,0.0,0.0,0.0,0.0,0.0,3.0882943623241514,2.380237941850566
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.531732418524871,2.497427101200686,57.08552631578947,28.697368421052627,0.0,0.0,0.0,0.0,1.1639090788778033,0.1924986302040624
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.531732418524871,2.497427101200686,0.0,0.0,3.425287356321839,0.5057471264367817,0.0,0.0,0.9453267705739185,0.05301599782489277
